MKG_SVP_DSC_TE,Product,MVM_DRC_CD,SVM_TYP_CD,SVC_FEA_TYP_CD,PKG_CHA_TYP_CD,ASY_SVC_TYP_CD,PKG_ACQ_MTH_TYP_CD
UPS Next Day Air Saver^RM - Single Piece Commercial Letter - Freight Collect,1DA,N,1DP,SFC,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial Package - Freight Collect,1DA,N,1DP,SFC,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential - Freight Collect,1DA,N,1DP,SFR,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Freight Collect,1DA,N,1DP,SFR,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Freight Collect,1DA,N,1DP,SFR,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial - Prepaid,1DA,N,1DP,SPB,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial Letter - Prepaid,1DA,N,1DP,SPB,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial Package - Prepaid,1DA,N,1DP,SPB,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Prepaid,1DA,N,1DP,SPR,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Prepaid,1DA,N,1DP,SPR,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Prepaid,1DA,N,1DP,SPR,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Letter - Prepaid,1DA,N,1DP,SPX,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Package - Prepaid,1DA,N,1DP,SPX,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential - Third Party,1DA,N,1DP,STC,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Third Party,1DA,N,1DP,STC,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Third Party,1DA,N,1DP,STC,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial - Third Party,1DA,N,1DP,STP,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial Letter - Third Party,1DA,N,1DP,STP,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Commercial Package - Third Party,1DA,N,1DP,STP,PKG,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential - Third Party,1DA,N,1DP,STR,ALL,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Letter - Third Party,1DA,N,1DP,STR,LTR,GDL,ALL
UPS Next Day Air Saver^RM - Single Piece Residential Package - Third Party,1DA,N,1DP,STR,PKG,GDL,ALL
UPS 2nd Day Air^RM,2DA,N,2DA,ALL,ALL,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial  Letter - Return Service,2DA,N,2DA,APB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial  Package - Return Service,2DA,N,2DA,APB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential  Letter - Return Service,2DA,N,2DA,APC,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential  Package - Return Service,2DA,N,2DA,APC,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential  Letter - Return Service,2DA,N,2DA,APR,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential  Package - Return Service,2DA,N,2DA,APR,PKG,GDL,ALL
UPS 2nd Day Air^RM - Package - Authorized Return Service - Regular Pickup,2DA,N,2DA,ARS,PKG,GDL,REG
UPS 2nd Day Air^RM - Single Piece Commercial Letter - Return Service - Third Party,2DA,N,2DA,ATB,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Commercial Package - Return Service - Third Party,2DA,N,2DA,ATB,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Letter - Return Service - Third Party,2DA,N,2DA,ATC,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Return Service - Third Party,2DA,N,2DA,ATC,PKG,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Letter - Return Service - Third Party,2DA,N,2DA,ATR,LTR,GDL,ALL
UPS 2nd Day Air^RM - Single Piece Residential Package - Return Service - Third Party,2DA,N,2DA,ATR,PKG,GDL,ALL
UPS 2nd Day Air^RM - Letter - Consignee Billing - Regular Pickup,2DA,N,2DA,CBB,LTR,GDL,REG
UPS 2nd Day Air^RM - Package - Consignee Billing - Regular Pickup,2DA,N,2DA,CBB,PKG,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Consignee Billing - Regular Pickup,Air_CWT,N,2DA,CBC,PKG,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Freight Collect - Regular Pickup,Air_CWT,N,2DA,CFC,ALL,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Package - Freight Collect - Regular Pickup,Air_CWT,N,2DA,CFC,PKG,GDL,REG
UPS 2nd Day Air^RM - Hundredweight - Third Party - Regular Pickup,Air_CWT,N,2DA,CTP,ALL,GDL,REG
